#Source_name;Variability_index;ASSOC1;ASSOC2;ASSOC_TEV;CLASS1;Flags
3FGL J0250.6+5630;45.1362;NVSS J025047+562935;;;bcu;0
3FGL J0251.1+2603;36.4454;PSR J0251+26;;;psr;0
3FGL J0251.1-1829;37.6787;;;;;0
3FGL J0251.5-5959;53.3518;PKS 0250-602;;;fsrq;0
3FGL J0252.3+3830;56.7571;B2 0249+38;;;fsrq;0
3FGL J0252.8-2218;1346.45;PKS 0250-225;;;fsrq;0
3FGL J0253.0-0125;30.1145;FBQS J0253-0124;;;bll;0
3FGL J0253.1-5438;108.317;PKS 0252-549;;;fsrq;0
3FGL J0253.5+3216;185.039;MG3 J025334+3217;;;bcu;0
3FGL J0253.8+5104;96.1786;NVSS J025357+510256;;;fsrq;0
3FGL J0254.2+5903;36.0472;;;;;8
3FGL J0255.8+0532;39.9618;PMN J0255+0533;;;bcu;0
3FGL J0256.3+0335;39.8672;PKS B0253+033;;;bcu;0
3FGL J0257.8-1216;125.949;PMN J0257-1211;;;fsrq;0
3FGL J0258.0+2030;51.362;MG3 J025805+2029;;;bll;1
3FGL J0258.2+3555;40.0812;;;;;8
3FGL J0258.9+0552;38.931;;;;;0
3FGL J0259.5+0746;140.499;PKS 0256+075;;;fsrq;0
3FGL J0301.4-1652;56.923;PMN J0301-1652;;;bcu;0
3FGL J0301.8-7157;110.479;PKS 0301-721;;;bcu;0
3FGL J0301.8-2721;27.0284;NVSS J030158-272754;;;bcu;0
3FGL J0302.0+5335;64.6678;GB6 J0302+5331;;;bcu;8
3FGL J0302.5-7915;91.0097;PMN J0303-7914;;;fsrq;0
3FGL J0303.0+3150;40.4647;B2 0259+31;;;bcu;0
3FGL J0303.4-2407;676.852;PKS 0301-243;;PKS 0301-243;BLL;0
3FGL J0303.6+4716;238.366;4C +47.08;;;bll;0
3FGL J0303.7-6211;113.3;PKS 0302-623;;;fsrq;0
3FGL J0304.3-2836;34.837;RBS 0385;;;bll;0
3FGL J0304.9+6817;62.4271;TXS 0259+681;;;bcu;0
3FGL J0305.2-1607;39.8024;PKS 0302-16;;;bcu;0
3FGL J0307.3+4916;53.4759;;;;;0
3FGL J0308.0+7442;50.4083;PSR J0307+7443;;;PSR;2048
3FGL J0308.4-2852;26.1036;;;;;0
3FGL J0308.6+0408;47.8088;NGC 1218;;;rdg;0
3FGL J0309.0+1029;670.752;PKS 0306+102;;;fsrq;0
3FGL J0309.5-0749;44.143;NVSS J030943-074427;;;bll;0
3FGL J0309.9-6057;235.106;PKS 0308-611;;;fsrq;0
3FGL J0310.4-5015;69.3722;1RXS J031036.0-501615;;;bcu;0
